 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:             8        3229280  Ljava.internal.vm.FillerArray; (java.base@19.0.1)
   2:          3065         154184  [B (java.base@19.0.1)
   3:           716          89248  java.lang.Class (java.base@19.0.1)
   4:          1209          80496  [Ljava.lang.Object; (java.base@19.0.1)
   5:          2693          64632  java.lang.String (java.base@19.0.1)
   6:            75          55448  [C (java.base@19.0.1)
   7:          1039          33248  java.util.concurrent.ConcurrentHashMap$Node (java.base@19.0.1)
   8:          1016          32512  java.util.HashMap$Node (java.base@19.0.1)
   9:           277          26848  [Ljava.util.HashMap$Node; (java.base@19.0.1)
  10:            20          15168  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@19.0.1)
  11:           634          13664  [I (java.base@19.0.1)
  12:           275          13200  java.util.HashMap (java.base@19.0.1)
  13:           546          13104  java.util.ImmutableCollections$SetN$SetNIterator (java.base@19.0.1)
  14:           361           8664  java.lang.module.ModuleDescriptor$Exports (java.base@19.0.1)
  15:           177           8496  java.lang.invoke.MemberName (java.base@19.0.1)
  16:           324           7776  java.util.KeyValueHolder (java.base@19.0.1)
  17:           313           7512  java.util.ImmutableCollections$Set12$1 (java.base@19.0.1)
  18:           248           7200  [Ljava.lang.Class; (java.base@19.0.1)
  19:           132           6968  [Ljava.lang.String; (java.base@19.0.1)
  20:           168           6720  java.lang.invoke.MethodType (java.base@19.0.1)
  21:            88           6688  [Ljava.lang.ref.SoftReference; (java.base@19.0.1)
  22:           255           6120  java.util.ImmutableCollections$Set12 (java.base@19.0.1)
  23:             6           5280  [Ljdk.internal.org.objectweb.asm.SymbolTable$Entry; (java.base@19.0.1)
  24:            63           5040  java.net.URI (java.base@19.0.1)
  25:           134           4288  java.lang.module.ModuleDescriptor$Requires (java.base@19.0.1)
  26:           262           4192  java.lang.Integer (java.base@19.0.1)
  27:           254           4064  java.util.Optional (java.base@19.0.1)
  28:            63           4032  java.lang.module.ModuleDescriptor (java.base@19.0.1)
  29:           164           3936  java.util.ImmutableCollections$SetN (java.base@19.0.1)
  30:            69           3864  java.lang.Module (java.base@19.0.1)
  31:           116           3712  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@19.0.1)
  32:           154           3696  java.lang.StringBuilder (java.base@19.0.1)
  33:            63           3528  jdk.internal.module.Builder (java.base@19.0.1)
  34:            63           3528  jdk.internal.module.ModuleReferenceImpl (java.base@19.0.1)
  35:            29           3320  [Ljava.lang.invoke.MethodHandle; (java.base@19.0.1)
  36:           103           3296  java.lang.invoke.LambdaForm$Name (java.base@19.0.1)
  37:           202           3232  java.util.HashSet (java.base@19.0.1)
  38:            63           2576  [Ljava.lang.module.ModuleDescriptor$Exports; (java.base@19.0.1)
  39:            44           2464  jdk.internal.org.objectweb.asm.SymbolTable$Entry (java.base@19.0.1)
  40:            38           2432  java.util.concurrent.ConcurrentHashMap (java.base@19.0.1)
  41:            59           2304  [Ljava.lang.invoke.LambdaForm$Name; (java.base@19.0.1)
  42:            65           2304  [Ljava.lang.module.ResolvedModule; (java.base@19.0.1)
  43:            68           2176  java.io.File (java.base@19.0.1)
  44:            68           2176  java.lang.invoke.LambdaForm$Kind (java.base@19.0.1)
  45:            34           2176  java.net.URL (java.base@19.0.1)
  46:            19           2128  java.lang.Thread (java.base@19.0.1)
